"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-101","Electronics Lab Instrumentation & Techniques",NA
"3","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-202","Microcontroller Programming and Interfacing",NA
"4","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-203","Measurement and Instrumentation",NA
"5","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-206","RF Communications",NA
"6","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"7","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ENGL-250","Report Writing in a Technical Environment",NA
"8","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-221","Electronic Applications",NA
"9","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-222","Applications with Microcontrollers",NA
"10","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-223","Industrial Controls",NA
"11","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","ETEC-224","System Integration",NA
"12","Centennial College of Applied Arts and Technology","Electronics Engineering Technology (Fast-Track) (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/electronics-engineering-technology-fast-track/","MATH-285","Calculus",NA
